,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,p_change_t1
432,2015/3/30,2716.431,2793.414,2784.456,2704.798,1813836.62,95.216,3.54,2698.853,2675.87,2552.853,1441167.87,1430077.61,1158023.43,-1.07
431,2015/3/31,2826.634,2860.24,2754.658,2744.927,1758337.12,-29.798,-1.07,2713.055,2693.016,2570.746,1485600.15,1473819.27,1200302.92,1.63
430,2015/4/1,2758.962,2810.649,2799.451,2751.372,1252813.25,44.793,1.63,2743.113,2707.997,2590.819,1471622,1451141.77,1230795.93,-0.64
429,2015/4/2,2821.214,2824.822,2781.641,2746.302,1221847.38,-17.81,-0.64,2761.889,2723.137,2611.556,1449105.62,1439730.65,1253001.65,1.28
428,2015/4/3,2771.03,2817.624,2817.181,2764.347,1129692.5,35.54,1.28,2787.477,2736.787,2633.834,1435305.37,1398944.9,1277084.18,2.56
427,2015/4/7,2854.407,2889.859,2889.452,2838.885,1601394.38,72.271,2.56,2808.477,2753.665,2656.813,1392816.93,1416992.4,1304056.04,2.17
426,2015/4/8,2907.584,2960.653,2952.079,2879.974,1798538.38,62.627,2.17,2847.961,2780.508,2684.646,1400857.18,1443228.66,1354765.16,-0.69
425,2015/4/9,2973.811,3021.85,2931.772,2914.695,1767644.88,-20.307,-0.69,2874.425,2808.769,2710.809,1503823.5,1487722.75,1408110.31,1.87
424,2015/4/10,2925.926,2992.408,2986.605,2911.463,1412159.62,54.833,1.87,2915.418,2838.653,2735.884,1541885.95,1495495.79,1416329.19,1.82
423,2015/4/13,3040.007,3059.775,3041.125,3016.965,1693395.88,54.52,1.82,2960.207,2873.842,2763.176,1654626.63,1544966,1448896.02,0.37
422,2015/4/14,3057.407,3074.671,3052.407,3013.312,1623003.62,11.282,0.37,2992.798,2900.637,2788.254,1658948.48,1525882.7,1477980.16,0.03
421,2015/4/15,3054.017,3119.484,3053.304,3039.255,1790259.25,0.897,0.03,3013.043,2930.502,2811.759,1657292.65,1529074.91,1501447.09,4.26
420,2015/4/16,3045.851,3183.583,3183.302,3033.248,1719675.5,129.998,4.26,3063.349,2968.887,2838.442,1647698.77,1575761.14,1513451.46,1.63
419,2015/4/17,3251.977,3271.567,3235.332,3216.206,2076599.38,52.03,1.63,3113.094,3014.256,2868.696,1780586.73,1661236.34,1550483.49,-2.19
418,2015/4/20,3267.851,3296.18,3164.461,3146.84,2659761.25,-70.871,-2.19,3137.761,3048.984,2892.885,1973859.8,1814243.21,1606594.06,1.58
417,2015/4/21,3163.288,3214.893,3214.364,3135.218,1844276.88,49.903,1.58,3170.153,3081.475,2917.57,2018114.45,1838531.46,1627761.93,2.64
416,2015/4/22,3219.696,3300.836,3299.221,3204.437,2017380.75,84.857,2.64,3219.336,3116.189,2948.349,2063538.75,1860415.7,1651822.18,-0.78
415,2015/4/23,3311.071,3313.81,3273.398,3245.762,1771379.25,-25.823,-0.78,3237.355,3150.352,2979.561,2073879.5,1860789.14,1674255.94,-1.51
414,2015/4/24,3226.384,3250.23,3223.958,3161.972,1851359.38,-49.44,-1.51,3235.08,3174.087,3006.37,2028831.5,1904709.11,1700102.45,2.62
413,2015/4/27,3257.97,3313.251,3308.454,3257.97,2002669.75,84.496,2.62,3263.879,3200.82,3037.331,1897413.2,1935636.5,1740301.25,-0.79
412,2015/4/28,3309.529,3370.025,3282.33,3255.769,2660428.5,-26.124,-0.79,3277.472,3223.812,3062.225,2060643.53,2039378.99,1782630.84,0.03
411,2015/4/29,3268.518,3304.707,3283.282,3243.539,1466662.88,0.952,0.03,3274.284,3246.81,3088.656,1950499.95,2007019.35,1768047.13,-1
410,2015/4/30,3290.581,3309.419,3250.49,3249.246,1462882.75,-32.792,-1,3269.703,3253.529,3111.208,1888800.65,1981340.08,1778550.61,0.66
409,2015/5/4,3250.125,3273.149,3272.005,3204.306,1332709.5,21.515,0.66,3279.312,3257.196,3135.726,1785070.68,1906951.09,1784093.71,-3.77
408,2015/5/5,3266.809,3270.962,3148.813,3132.936,1706077.75,-123.192,-3.77,3247.384,3255.632,3152.308,1725752.28,1811582.74,1812912.98,-0.31
407,2015/5/6,3175.886,3244.596,3139.02,3110.111,1479911.38,-9.793,-0.31,3218.722,3248.097,3164.786,1489648.85,1775146.19,1806838.83,-1.41
406,2015/5/7,3116.788,3142.137,3094.883,3093.732,1094409.25,-44.137,-1.41,3181.042,3227.663,3171.926,1415198.13,1682849.04,1771632.37,0.5
405,2015/5/8,3126.002,3138.661,3110.455,3045.01,1032781.62,15.572,0.5,3153.035,3211.369,3180.86,1329177.9,1608989.28,1734889.21,1.89
404,2015/5/11,3112.241,3169.867,3169.134,3075.201,1337666.62,58.679,1.89,3132.461,3205.887,3189.987,1330169.32,1557620,1731164.56,0.6
403,2015/5/12,3162.671,3200.184,3188.313,3136.458,1308130.5,19.179,0.6,3140.361,3193.873,3197.346,1250579.87,1488166.08,1711901.29,-1.48
402,2015/5/13,3188.061,3188.961,3141.296,3122.337,1173055,-47.017,-1.48,3140.816,3179.769,3201.791,1189208.6,1339428.73,1689403.86,-0.41
401,2015/5/14,3136.128,3153.748,3128.572,3107.681,1053387,-12.724,-0.41,3147.554,3164.298,3205.554,1181004.15,1298101.14,1652560.24,-2.18
400,2015/5/15,3122.894,3124.605,3060.411,3044.854,1099932,-68.161,-2.18,3137.545,3145.29,3199.41,1194434.22,1261806.06,1621573.07,-2.03
399,2015/5/18,3032.708,3045.586,2998.389,2997.129,870417.25,-62.022,-2.03,3103.396,3117.929,3187.562,1100984.35,1215576.84,1561263.96,3.92
398,2015/5/19,2996.841,3127.001,3116.086,2996.716,1112066.25,117.697,3.92,3088.951,3114.656,3185.144,1061771.5,1156175.69,1483879.21,0.22
397,2015/5/20,3127.566,3181.54,3122.85,3105.626,1245573.38,6.764,0.22,3085.262,3113.039,3180.568,1076275.18,1132741.89,1453944.04,0.9
396,2015/5/21,3132.335,3156.488,3150.901,3110.999,947557.81,28.051,0.9,3089.727,3118.641,3173.152,1055109.34,1118056.74,1400452.89,3.11
395,2015/5/22,3180.39,3249.516,3248.855,3170.453,1500211,97.954,3.11,3127.416,3132.481,3171.925,1135165.14,1164799.68,1386894.48,3.11
394,2015/5/25,3263.96,3350.518,3349.945,3263.96,1585857.12,101.09,3.11,3197.727,3150.562,3178.224,1278253.11,1189618.73,1373619.37,1.09
393,2015/5/26,3382.76,3390.287,3386.593,3320.154,1478946.88,36.648,1.09,3251.829,3170.39,3182.131,1351629.24,1206700.37,1347433.22,-1.24
392,2015/5/27,3390.981,3404.756,3344.738,3327.241,1474705.38,-41.855,-1.24,3296.206,3190.734,3185.252,1397455.64,1236865.41,1288147.07,-6.58
391,2015/5/28,3336.7,3350.218,3124.621,3120.973,1782552,-220.117,-6.58,3290.95,3190.339,3177.319,1564454.48,1309781.91,1303941.52,-0.42
390,2015/5/29,3127.636,3161.58,3111.334,3036.957,1337844,-13.287,-0.42,3263.446,3195.431,3170.361,1531981.08,1333573.11,1297689.58,4.27
389,2015/6/1,3114.793,3250.605,3244.319,3082.163,1410233.75,132.985,4.27,3242.321,3220.024,3168.976,1496856.4,1387554.76,1301565.8,0.43
388,2015/6/2,3240.796,3269.216,3258.31,3201.224,1348005.38,13.991,0.43,3216.664,3234.247,3174.451,1470668.1,1411148.67,1283662.18,-0.61
387,2015/6/3,3251.909,3259.706,3238.428,3193.544,1283069.75,-19.882,-0.61,3195.402,3245.804,3179.422,1432340.98,1414898.31,1273820.1,1.87
386,2015/6/4,3244.459,3316.501,3299.03,3113.222,1845679.38,60.602,1.87,3230.284,3260.617,3189.629,1444966.45,1504710.46,1311383.6,0.15
385,2015/6/5,3349.573,3365.59,3303.988,3234.246,1881456.5,4.958,0.15,3268.815,3266.131,3199.306,1553688.95,1542835.01,1353817.35,4.68
384,2015/6/8,3333.833,3469.216,3458.707,3308.296,2482540.5,154.719,4.68,3311.693,3277.007,3213.784,1768150.3,1632503.35,1411061.04,-1.29
383,2015/6/9,3494.823,3494.823,3413.996,3376.025,2204485.5,-44.711,-1.29,3342.83,3279.747,3225.068,1939446.33,1705057.21,1455878.79,-1.28
382,2015/6/10,3362.807,3415.276,3370.383,3338.684,1552946.88,-43.613,-1.28,3369.221,3282.312,3236.523,1993421.75,1712881.36,1474873.39,-0.69
381,2015/6/11,3368.999,3383.488,3347.116,3313.59,1380738.5,-23.267,-0.69,3378.838,3304.561,3247.45,1900433.58,1672700.01,1491240.96,0.09
380,2015/6/12,3364.443,3374.815,3350.248,3319.2,1452622.5,3.132,0.09,3388.09,3328.453,3261.942,1814666.78,1684177.86,1508875.49,-2.62
379,2015/6/15,3359.707,3366.839,3262.479,3254.619,1673225.62,-87.769,-2.62,3348.844,3330.268,3275.146,1652803.8,1710477.05,1549015.9,-2.54
378,2015/6/16,3233.15,3275.47,3179.65,3149.08,1559699,-82.83,-2.54,3301.975,3322.402,3278.325,1523846.5,1731646.41,1571397.54,1.01
377,2015/6/17,3198.14,3222.44,3211.71,3144.49,1595715.62,32.06,1.01,3270.241,3319.731,3282.768,1532400.25,1762911,1588904.65,-4.46
376,2015/6/18,3183.23,3183.23,3068.49,3067.48,1373450.38,-143.22,-4.46,3214.515,3296.677,3278.647,1530942.62,1715688.1,1610199.28,-5.39
375,2015/6/19,3030.22,3067.82,2903.06,2900.79,1317839.25,-165.43,-5.39,3125.078,3256.584,3261.357,1503985.97,1659326.38,1601080.69,3.45
374,2015/6/23,2907.07,3007.63,3003.16,2822.47,1356176.5,100.1,3.45,3073.214,3211.029,3244.018,1440576.15,1546689.98,1589596.66,1.4
373,2015/6/24,3009.77,3052.11,3045.24,2962.65,1415858.88,42.08,1.4,3046.332,3174.154,3226.95,1411808.13,1467827.31,1586442.26,-3.33
372,2015/6/25,3069.4,3082.56,2943.99,2929.11,1601583.12,-101.25,-3.33,2992.788,3131.514,3206.913,1412981.63,1472690.94,1592786.15,-7.04
371,2015/6/26,2875.12,2953.96,2736.7,2678.77,1833558,-207.29,-7.04,2926.43,3070.473,3187.517,1505003.15,1517972.89,1595336.45,-2.13
370,2015/6/29,2802.77,2822.11,2678.37,2530.83,2120187.25,-58.33,-2.13,2881.492,3003.285,3165.869,1665472.75,1584729.36,1634453.61,7.16
369,2015/6/30,2678.63,2872.51,2870.03,2628,2195923,191.66,7.16,2854.866,2964.04,3147.154,1833422.05,1636999.1,1673738.08,-4.64
368,2015/7/1,2823.94,2872.91,2736.85,2721.48,1699577,-133.18,-4.64,2793.188,2919.76,3121.081,1890165.67,1650986.9,1691316.66,-0.83
367,2015/7/2,2767.99,2805.67,2714.25,2611.86,2090457.5,-22.6,-0.83,2747.24,2870.014,3094.872,1987940.55,1700461.09,1731686.04,-4.86
366,2015/7/3,2674.56,2738.66,2582.27,2511.16,1843619.12,-131.98,-4.86,2716.354,2821.392,3059.034,1989952.77,1747477.96,1731583.03,6.5
365,2015/7/6,2807.75,2807.75,2750,2649.56,3448342.75,167.73,6.5,2730.68,2806.086,3031.335,2255583.87,1960528.31,1809927.34,2.27
364,2015/7/7,2682.5,2825.49,2812.45,2612.11,3503148,62.45,2.27,2719.164,2787.015,2999.022,2517028.87,2175225.46,1860957.72,-7.24
363,2015/7/8,2596.71,2760.52,2608.98,2546.46,3774594,-203.47,-7.24,2693.59,2743.389,2958.771,2932032.27,2411098.97,1939463.14,6.6
362,2015/7/9,2575.34,2828.75,2781.08,2493.64,2711767.75,172.1,6.6,2706.956,2727.098,2929.306,3056294.32,2522117.44,1997404.19,4.22
361,2015/7/10,2749.12,2997.6,2898.41,2717.71,2962518.5,117.33,4.22,2770.184,2743.269,2906.871,3280074.2,2635013.49,2076493.19,-1.01
